ORIGINE	DESTINATION
1	13
1	18
1	46
2	4
2	5
2	14
2	78
2	89
3	17
4	2
4	22
4	25
4	51
4	52
4	57
4	77
4	89
5	32
5	65
6	22
6	43
6	72
7	14
7	23
7	29
8	14
8	16
8	29
9	30
9	32
9	53
9	57
9	66
10	1
10	88
10	89
10	91
11	17
11	51
11	55
11	98
12	64
13	1
13	2
13	4
13	11
13	22
13	25
13	29
14	10
14	89
15	57
15	59
15	77
16	24
16	66
17	5
17	52
18	10
19	29
19	31
20	14
20	19
20	31
20	52
22	67
22	68
23	71
23	77
23	78
23	79
23	82
24	14
24	16
24	25
25	2
25	7
25	18
25	22
25	30
25	77
25	82
26	19
27	22
27	32
27	36
27	49
27	82
28	32
28	33
29	26
30	43
31	86
31	88
32	17
32	19
32	30
32	42
33	14
33	34
33	89
34	14
34	16
34	33
34	66
35	77
36	81
36	89
37	8
37	14
37	44
37	45
38	21
38	66
39	14
39	32
41	19
41	42
41	43
42	32
42	44
44	19
44	66
45	23
45	53
45	82
46	7
46	16
46	24
46	32
47	14
47	19
47	39
49	23
49	66
49	82
50	17
50	27
50	30
50	78
50	89
51	42
52	35
52	44
53	16
54	57
54	73
54	74
54	82
55	22
55	51
55	66
56	88
57	30
57	35
58	17
58	43
58	47
59	5
59	11
59	32
59	89
61	1
61	5
61	11
61	65
62	51
62	55
62	89
63	5
65	11
65	32
65	64
66	14
66	33
67	22
67	24
67	32
67	65
68	22
68	58
68	59
68	64
68	66
69	28
69	32
69	65
70	14
70	22
70	23
70	24
70	34
70	66
71	22
71	29
71	30
71	36
71	77
71	91
72	11
72	13
72	43
73	47
74	30
74	82
75	11
75	30
75	52
75	72
75	78
76	6
76	45
76	59
76	69
76	78
77	79
77	85
77	89
78	21
78	32
78	43
78	75
78	89
79	56
79	77
79	88
79	89
80	72
81	82
81	89
82	23
82	57
82	89
84	19
84	32
85	10
85	56
85	77
86	4
86	31
86	51
86	56
87	19
87	88
88	53
88	56
88	66
89	1
89	51
89	55
89	56
90	11
90	30
90	33
91	73
91	88
93	3
93	17
93	22
93	30
93	64
94	21
94	22
95	22
95	29
96	10
96	71
96	88
96	89
96	91
97	75
99	11
99	72
99	89
100	11
100	18
100	21
100	35
100	98
