LNUM	ENTREE	ORIGINE	RENVOI	DESTINATION
L0001	Abattoir	Abattoir	Métabolisme urbain	Métabolisme urbain
L0002	Abattoir	Abattoir	Nuisance	Nuisance
L0003	Abattoir	Abattoir	Services	Services
L0004	Abattoir	Abattoir	Voisinage	Voisinage
L0005	Abri	Abri	Domicile	Domicile
L0006	Abri	Abri	Logement	Logement
L0007	Abri	Abri	Maison	Maison
L0008	Accessibilité	Accessibilité	Carrefour	Carrefour
L0009	Accessibilité	Accessibilité	Centralité	Centralité
L0010	Accessibilité	Accessibilité	Communication	Communication
L0011	Accessibilité	Accessibilité	Distance	Distance
L0012	Accessibilité	Accessibilité	Infrastructures	Infrastructures
L0013	Accessibilité	Accessibilité	Transport	Transport
L0014	Acteur	Acteur	Association	Association
L0015	Acteur	Acteur	Citoyen	Citoyenneté
L0016	Acteur	Acteur	Décentralisation	Décentralisation
L0017	Acteur	Acteur	Ingénieur	Ingénieur
L0018	Acteur	Acteur	Maire	Maire
L0019	Acteur	Acteur	Promoteur	Promoteur
L0020	Acteur	Acteur	Urbaniste	Urbaniste
L0021	Adressage	Adressage	Plan	Plan
L0022	Adressage	Adressage	Rue	Rue
L0023	Adressage	Adressage	Système d'information géographique	Système d'information géographique
L0024	Advocacy planning	Advocacy planning	Acteur	Acteur
L0025	Advocacy planning	Advocacy planning	Association	Association
L0026	Advocacy planning	Advocacy planning	Planification urbaine	Planification urbaine
L0027	Advocacy planning	Advocacy planning	Urbanisme	Urbanisme
L0028	Aéroport	Aéroport	Technopôle	Technopôle
L0029	Aéroport	Aéroport	Transport	Transport
L0030	Affiche	Affiche	Mobilier urbain	Mobilier urbain
L0031	Affiche	Affiche	Paysage	Paysage
L0032	Affiche	Affiche	Rue	Rue
L0033	Agence Nationale de la Rénovation Urbaine (ANRU)	ANRU	Politique de la ville	Politique de la ville
L0034	Agence Nationale de la Rénovation Urbaine (ANRU)	ANRU	Zone urbaine sensible	Zone urbaine sensible
L0035	Agence Nationale pour l'Amélioration de l'Habitat (ANAH)	NA	Habitat	NA
L0036	Agglomération	Agglomération	Aire urbaine	Aire urbaine
L0037	Agglomération	Agglomération	Bassin d'emploi	Bassin d'emploi
L0038	Agglomération	Agglomération	Communauté d'agglomération	Communauté d'agglomération
L0039	Agglomération	Agglomération	Commune	Commune
L0040	Agglomération	Agglomération	Densité	Densité
L0041	Agglomération	Agglomération	Municipalité	Municipalité
L0042	Agglomération	Agglomération	Unité urbaine	Unité urbaine
L0043	Agglomération	Agglomération	Ville	Ville
L0044	Agora	Agora	Espace public	Espace public
L0045	Agora	Agora	Place	Place
L0046	Air	Air	Environnement	Environnement
L0047	Air	Air	Pollution atmosphérique	Pollution atmosphérique
L0048	Aire de marché, aire (ou zone) de chalandise	Aire de marché	Aire d'influence	Aire d'influence
L0049	Aire de marché, aire (ou zone) de chalandise	Aire de marché	Commerce	Commerce
L0050	Aire de marché, aire (ou zone) de chalandise	Aire de marché	Théorie des lieux centraux	Théorie des lieux centraux
L0051	Aire d'influence (ou zone d'influence)	Aire d'influence	Aire de marché	Aire de marché
L0052	Aire d'influence (ou zone d'influence)	Aire d'influence	Portée	Portée
L0053	Aire d'influence (ou zone d'influence)	Aire d'influence	Services	Services
L0054	Aire d'influence (ou zone d'influence)	Aire d'influence	Théorie des lieux centraux	Théorie des lieux centraux
L0055	Aire métropolitaine	Aire métropolitaine	Agglomération	Agglomération
L0056	Aire métropolitaine	Aire métropolitaine	Aire urbaine	Aire urbaine
L0057	Aire métropolitaine	Aire métropolitaine	Bassin d'emploi	Bassin d'emploi
L0058	Aire métropolitaine	Aire métropolitaine	Métropolisation	Métropolisation
L0059	Aire métropolitaine	Aire métropolitaine	Unité urbaine	Unité urbaine
L0060	Aire urbaine	Aire urbaine	Agglomération	Agglomération
L0061	Aire urbaine	Aire urbaine	Aire métropolitaine	Aire métropolitaine
L0062	Aire urbaine	Aire urbaine	Bassin d'emploi	Bassin d'emploi
L0063	Aire urbaine	Aire urbaine	Étalement urbain	Étalement urbain
L0064	Aire urbaine	Aire urbaine	Unité urbaine	Unité urbaine
L0065	Alignement	Alignement	Plan	Plan
L0066	Alignement	Alignement	Rue	Rue
L0067	Alignement	Alignement	Urbanisme	Urbanisme
L0068	Allée	Allée	Rue	Rue
L0069	Allée	Allée	Jardin	Jardin public
L0070	Allée	Allée	Mail	Mail
L0071	Allée	Allée	Parc	Parc
L0072	Allée	Allée	Piéton	Piéton
L0073	Allée	Allée	Promenade	Promenade
L0074	Altérité	Altérité	Civilité	Civilité
L0075	Altérité	Altérité	Citadinité	Citadinité
