LNUM	ENTREE	ORIGINE	RENVOI	DESTINATION
L001	AC!	AC!	Christophe Aguiton	Aguiton
L002	action directe	action directe	Anarchisme	anarchisme
L003	action directe	action directe	Action directe (organisation)	Action directe (orga)
L004	action directe	action directe	Gauche prolétarienne	GP
L005	action directe	action directe	Maoïsme	maoïsme
L006	Action directe (organisation)	Action directe (orga)	Autonome (mouvement)	autonome
L007	Christophe Aguiton	Aguiton	ATTAC	ATTAC
L008	Christophe Aguiton	Aguiton	Forum social mondial	Forum social mondial
L009	Christophe Aguiton	Aguiton	LCR	LCR
L010	altermondialisme	altermondialisme	ATTAC	ATTAC
L011	altermondialisme	altermondialisme	Black Blocks	black blocks
L012	altermondialisme	altermondialisme	Bernard Cassen	Cassen
L013	altermondialisme	altermondialisme	Forum social mondial	Forum social mondial
L014	altermondialisme	altermondialisme	John Holloway	Holloway
L015	altermondialisme	altermondialisme	Naomi Klein	Klein
L016	altermondialisme	altermondialisme	le Monde diplomatique	Monde diplo
L017	altermondialisme	altermondialisme	Toni Negri	Negri
L018	les Alternatifs	les Alternatifs	Altermondialisme	altermondialisme
L019	Alternative libertaire	Alternative libertaire	Anarchisme	anarchisme
L020	amnistie	amnistie	NA	NA
L021	anarchisme	anarchisme	Action directe	action directe
L022	anarchisme	anarchisme	Alternative libertaire	Alternative libertaire
L023	anarchisme	anarchisme	Antifascisme	antifascisme
L024	anarchisme	anarchisme	Black Blocks	black blocks
L025	anarchisme	anarchisme	No Pasaran	No Pasaran
L026	anarchisme	anarchisme	Organisation communiste libertaire	OCL
L027	anarchisme	anarchisme	Scalp	SCALP
L028	anarcho-syndicalisme	anarcho-syndicalisme	Action directe	action directe
L029	antiaméricanisme	antiaméricanisme	NA	NA
L030	antifascisme	antifascisme	No Pasaran	No Pasaran
L031	antifascisme	antifascisme	Ras l'front	Ras l'front
L032	antifascisme	antifascisme	Scalp	SCALP
L033	anti-impérialisme	anti-impérialisme	NA	NA
L034	antilibéralisme et anticapitalisme	antilibéralisme	NA	NA
L035	antiracisme	antiracisme	Antisémitisme	antisémitisme
L036	antiracisme	antiracisme	Antisionisme	antisionisme
L037	antiracisme	antiracisme	Indigènes de la République	Indigènes de la République
L038	antisémitisme	antisémitisme	Antiracisme	antiracisme
L039	antisémitisme	antisémitisme	Antisionisme	antisionisme
L040	antisionisme/critique d'Israël	antisionisme	Antisémitisme	antisémitisme
L041	apartheid	apartheid	Banlieues (crise des)	banlieues
L042	apartheid	apartheid	Ethnicisation de la question sociale	ethnicisation
L043	apartheid	apartheid	Europe	Europe
L044	apartheid	apartheid	Immigration	immigration
L045	apartheid	apartheid	Indigènes de la République	Indigènes de la République
L046	ATTAC	ATTAC	Altermondialisme	altermondialisme
L047	ATTAC	ATTAC	Bernard Cassen	Cassen
L048	ATTAC	ATTAC	le Monde diplomatique	Monde diplo
L049	Clémentine Autain	Autain	Collectifs antilibéraux	collectifs antilibéraux
L050	Clémentine Autain	Autain	Élection	élection
L051	Clémentine Autain	Autain	Féminisme	féminisme
L052	mouvement autonome	autonome	Action directe	action directe
L053	mouvement autonome	autonome	Toni Negri	Negri
L054	mouvement autonome	autonome	Précarité	précarité
L055	mouvement autonome	autonome	Violence	violence
L056	avant-garde	avant-garde	NA	NA
L057	Étienne Balibar	Balibar	NA	NA
L058	crise des banlieues	banlieues	Apartheid	apartheid
L059	crise des banlieues	banlieues	MIB	MIB
L060	Robert Barcia	Barcia	Barta	Barta
L061	Robert Barcia	Barcia	Arlette Laguiller	Laguiller
L062	Robert Barcia	Barcia	Lutte ouvrière	LO
L063	Robert Barcia	Barcia	UCI	UCI
L064	Barta	Barta	Lutte ouvrière	LO
L065	Barta	Barta	Trotskisme	trotskisme
L066	Barta	Barta	UCI	UCI
L067	affaire Battisti	Battisti	NA	NA
L068	Francine Bavay	Bavay	Écologie	écologie
L069	Francine Bavay	Bavay	Élections	élection
L070	Francine Bavay	Bavay	Fondation Copernic	Fondation Copernic
L071	Francine Bavay	Bavay	Nonisme	nonisme
L072	Olivier Besancenot	Besancenot	Alain Krivine	Krivine
L073	Olivier Besancenot	Besancenot	LCR	LCR
L074	Black Blocks	black blocks	Action directe	action directe
L075	Black Blocks	black blocks	Anarchisme	anarchisme
L076	Black Blocks	black blocks	Autonome (mouvement)	autonome
L077	Black Blocks	black blocks	Violence	violence
L078	José Bové	Bové	Altermondialisme	altermondialisme
L079	José Bové	Bové	Confédération paysanne	Confédération paysanne
L080	Bernard Cassen	Cassen	Altermondialisme	altermondialisme
L081	Bernard Cassen	Cassen	ATTAC	ATTAC
